Date,Day,Tweets published,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
01-01-2020,Wednesday,0,8961,238,0.026559536,9,3,83,24,7,0,6,0,0,0,0,0,0,109,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02-01-2020,Thursday,5,14964,694,0.046377974,17,2,150,50,28,3,30,0,0,0,0,0,0,414,414,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03-01-2020,Friday,0,8749,241,0.027546005,2,0,35,8,11,1,11,0,0,0,0,0,0,173,173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04-01-2020,Saturday,1,8394,158,0.018822969,5,0,29,7,10,0,4,0,0,0,0,0,0,103,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
05-01-2020,Sunday,1,7060,165,0.023371105,10,0,40,13,10,0,7,0,0,0,0,0,0,85,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06-01-2020,Monday,3,11122,471,0.042348498,2,0,88,23,56,1,12,0,0,0,0,0,0,290,289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07-01-2020,Tuesday,4,14861,497,0.033443241,6,2,115,30,27,3,9,0,0,0,0,0,0,305,305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08-01-2020,Wednesday,2,10818,251,0.023202071,6,0,47,26,34,0,6,0,0,0,0,0,0,133,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09-01-2020,Thursday,4,11725,412,0.035138593,8,0,63,18,71,0,4,0,0,0,0,0,0,248,248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10-01-2020,Friday,1,7248,166,0.02290287,2,0,20,7,27,0,3,0,0,0,1,0,0,106,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11-01-2020,Saturday,1,7239,154,0.021273657,4,0,23,5,9,0,0,0,0,0,0,0,0,113,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12-01-2020,Sunday,4,9925,254,0.02559194,19,0,117,15,19,0,16,0,0,0,0,0,0,68,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13-01-2020,Monday,1,7936,195,0.024571573,9,0,55,19,26,0,11,0,0,0,0,0,0,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-01-2020,Tuesday,2,7988,122,0.015272909,1,0,37,8,11,1,1,0,0,0,0,0,0,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15-01-2020,Wednesday,4,10241,152,0.014842301,5,0,63,10,5,3,3,0,0,0,0,0,0,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16-01-2020,Thursday,2,8143,172,0.021122436,3,1,44,10,5,0,12,0,0,0,0,0,0,99,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-01-2020,Friday,0,5258,70,0.013313047,3,1,7,5,6,0,3,0,0,0,0,0,0,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-01-2020,Saturday,1,7396,181,0.024472688,8,0,34,11,2,0,6,0,0,0,0,0,0,120,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19-01-2020,Sunday,5,13946,146,0.010468952,9,0,65,18,2,2,5,0,0,0,0,0,0,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20-01-2020,Monday,4,13482,338,0.025070464,6,1,49,43,11,3,10,0,0,0,0,0,0,215,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21-01-2020,Tuesday,0,6148,54,0.008783344,0,0,6,8,9,1,3,0,0,0,0,0,0,28,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22-01-2020,Wednesday,3,7861,149,0.018954332,4,1,35,11,12,0,11,0,0,0,0,0,0,75,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23-01-2020,Thursday,4,8369,253,0.030230613,11,4,76,13,6,1,21,0,0,0,0,0,0,121,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24-01-2020,Friday,3,6629,206,0.031075577,5,1,33,21,2,0,12,0,0,0,0,0,0,132,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25-01-2020,Saturday,1,5242,102,0.019458222,1,0,26,6,2,0,2,0,0,0,0,0,0,65,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26-01-2020,Sunday,0,3617,35,0.009676528,1,0,8,7,2,0,2,0,0,0,0,0,0,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27-01-2020,Monday,3,8675,355,0.04092219,6,0,85,26,5,1,8,0,0,0,0,0,0,224,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28-01-2020,Tuesday,1,6117,143,0.023377473,4,1,49,12,27,0,9,0,0,0,0,0,0,41,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29-01-2020,Wednesday,2,5462,125,0.02288539,3,0,36,6,44,2,6,0,0,0,0,0,0,28,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30-01-2020,Thursday,2,4983,98,0.019666867,3,1,36,7,5,0,4,0,0,0,0,0,0,42,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31-01-2020,Friday,3,6843,180,0.026304253,4,2,24,40,14,0,6,0,0,0,0,0,0,90,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01-02-2020,Saturday,0,4339,175,0.040331874,2,0,24,19,17,0,5,0,0,0,0,0,0,108,108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02-02-2020,Sunday,2,4384,73,0.01665146,4,0,18,7,7,0,3,0,0,0,0,0,0,34,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03-02-2020,Monday,1,3720,75,0.02016129,1,0,25,7,6,0,1,0,0,0,0,0,0,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04-02-2020,Tuesday,2,3642,129,0.035420099,2,0,26,8,3,0,2,0,0,0,0,0,0,88,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
05-02-2020,Wednesday,2,4655,198,0.042534909,5,0,43,10,6,0,0,0,0,0,0,0,0,134,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06-02-2020,Thursday,3,3912,107,0.027351738,5,0,28,10,4,0,2,0,0,0,0,0,0,58,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07-02-2020,Friday,1,4097,69,0.016841591,3,0,20,3,18,0,2,0,0,0,0,0,0,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08-02-2020,Saturday,0,3543,119,0.033587355,8,1,19,11,34,0,4,0,0,0,0,0,0,42,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09-02-2020,Sunday,0,2248,107,0.047597865,3,0,2,4,12,0,2,0,0,0,0,0,0,84,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10-02-2020,Monday,4,6549,167,0.025500076,5,1,32,11,32,0,9,0,0,0,0,0,0,77,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11-02-2020,Tuesday,1,3901,100,0.025634453,1,1,30,20,8,0,2,0,0,0,0,0,0,38,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12-02-2020,Wednesday,3,7094,277,0.039047082,6,1,77,21,18,0,8,0,0,0,0,0,0,146,146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13-02-2020,Thursday,0,2823,54,0.019128587,3,0,12,3,6,0,7,0,0,0,0,0,0,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-02-2020,Friday,2,6434,234,0.036369288,4,0,59,16,17,0,16,0,0,0,0,0,0,122,122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15-02-2020,Saturday,0,2220,44,0.01981982,0,0,6,4,1,0,9,0,0,0,0,0,0,24,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16-02-2020,Sunday,0,1592,31,0.019472362,0,0,3,9,0,0,11,0,0,0,0,0,0,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-02-2020,Monday,1,3360,86,0.025595238,3,0,18,15,3,0,15,0,0,0,0,0,0,32,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-02-2020,Tuesday,3,6947,192,0.027637829,11,4,83,10,22,0,8,0,0,0,0,0,0,54,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19-02-2020,Wednesday,3,6812,226,0.033176747,7,0,58,32,14,2,9,0,0,0,0,0,0,104,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20-02-2020,Thursday,1,4472,123,0.027504472,4,1,28,4,14,0,9,0,0,0,0,0,0,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21-02-2020,Friday,3,5828,254,0.043582704,6,1,65,15,41,0,14,0,0,0,0,0,0,112,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22-02-2020,Saturday,0,2798,76,0.027162259,5,0,15,10,16,0,1,0,0,0,0,0,0,29,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23-02-2020,Sunday,0,2044,31,0.015166341,0,0,9,4,1,0,1,0,0,0,0,0,0,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24-02-2020,Monday,1,6576,149,0.022658151,9,1,36,4,48,2,9,0,0,0,0,0,0,40,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25-02-2020,Tuesday,1,7445,588,0.078979181,40,22,116,31,21,0,60,0,0,0,0,0,0,298,298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26-02-2020,Wednesday,1,4586,268,0.058438727,10,5,48,14,13,0,10,0,0,0,0,0,0,168,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27-02-2020,Thursday,3,11567,241,0.020835134,14,4,49,22,67,0,14,0,0,0,0,0,0,71,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28-02-2020,Friday,15,21637,678,0.031335213,33,2,140,51,17,6,24,0,0,0,0,0,0,405,405,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29-02-2020,Saturday,13,23479,885,0.037693258,35,3,172,45,5,8,27,0,0,0,0,0,0,590,590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01-03-2020,Sunday,0,6186,208,0.033624313,11,0,21,13,4,2,5,0,0,0,0,0,0,153,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02-03-2020,Monday,0,5574,119,0.021349121,5,0,14,17,2,1,11,0,0,0,0,0,0,69,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03-03-2020,Tuesday,2,5374,140,0.026051358,8,0,24,14,14,0,9,0,0,0,0,0,0,72,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04-03-2020,Wednesday,4,6092,174,0.028562049,5,0,44,9,3,1,7,0,0,0,0,0,0,105,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
05-03-2020,Thursday,1,4620,159,0.034415584,8,2,39,23,1,6,13,0,0,0,0,0,0,67,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06-03-2020,Friday,0,3634,68,0.018712163,1,0,11,5,2,0,4,0,0,0,0,0,0,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07-03-2020,Saturday,6,8433,597,0.070793312,22,3,87,24,12,0,14,0,0,0,0,0,0,435,435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08-03-2020,Sunday,2,7479,402,0.053750501,6,0,44,8,4,2,11,0,0,0,0,0,0,327,327,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09-03-2020,Monday,0,3755,89,0.023701731,3,0,4,1,2,0,5,0,0,0,0,0,0,74,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10-03-2020,Tuesday,0,2155,25,0.011600928,0,0,0,1,0,0,2,0,0,0,0,0,0,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11-03-2020,Wednesday,1,3145,58,0.018441971,4,0,19,3,7,0,3,0,0,0,0,0,0,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12-03-2020,Thursday,2,4438,94,0.021180712,3,0,20,7,7,0,0,0,0,0,0,0,0,58,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13-03-2020,Friday,2,6688,701,0.104814593,24,1,72,32,7,2,32,0,0,0,0,0,0,531,531,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-03-2020,Saturday,0,6230,421,0.067576244,7,0,36,15,3,1,24,0,0,0,0,0,0,335,335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15-03-2020,Sunday,0,3458,92,0.026604974,1,1,6,7,2,0,5,0,0,0,0,0,0,70,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16-03-2020,Monday,4,6472,298,0.046044499,2,0,40,40,13,1,20,0,0,0,0,0,0,182,182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-03-2020,Tuesday,3,7654,238,0.031094852,16,1,52,28,70,2,14,0,0,0,0,0,0,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18-03-2020,Wednesday,3,7435,185,0.024882313,8,0,41,16,37,0,9,0,0,0,0,0,0,74,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19-03-2020,Thursday,3,8932,243,0.027205553,12,0,45,10,23,2,10,0,0,0,0,0,0,141,141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20-03-2020,Friday,2,7022,233,0.03318143,10,1,45,19,64,0,31,0,0,0,0,0,0,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21-03-2020,Saturday,2,6381,215,0.033693778,6,0,23,9,23,1,23,0,0,0,0,0,0,130,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22-03-2020,Sunday,3,25155,2106,0.08372093,14,5,150,43,21,6,97,0,0,0,0,0,0,1770,1770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23-03-2020,Monday,5,15087,983,0.065155432,22,5,106,27,58,2,68,0,0,0,0,0,0,695,695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24-03-2020,Tuesday,1,5774,186,0.03221337,5,0,35,6,23,2,25,0,0,0,0,0,0,90,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25-03-2020,Wednesday,0,1005,20,0.019900498,0,0,2,3,2,0,2,0,0,0,0,0,0,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
